ltl_score,prism_probability,evaluation_time,size,goals,obstacles,complexity
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",956.7486596107483,9,3,16,25
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",962.1186230182648,9,3,12,30
0.7893260463235314,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.8850213171214576, 'seq_2_before_3': 0.4503204583957032, 'complete_sequence': 0.400614502424028, 'avoid_obstacle': 1.0}",999.6572439670563,9,3,22,31
1.0,"{'goal1': 0.0, 'goal2': 0.0, 'goal3': 0.0, 'seq_1_before_2': 0.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",895.7669122219086,9,3,15,15
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",949.2190735340118,9,3,17,34
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",935.0538561344147,9,3,15,15
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",895.2078814506531,9,3,20,15
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",934.5504767894745,9,3,22,22
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 0.0, 'seq_1_before_2': 0.0, 'seq_2_before_3': 1.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",950.5332078933716,9,3,12,25
1.0,"{'goal1': 1.0, 'goal2': 0.0, 'goal3': 0.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.0, 'complete_sequence': 0.0, 'avoid_obstacle': 1.0}",931.9701404571533,10,3,28,17
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",957.6720683574677,10,3,16,24
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",966.7363276481628,10,3,24,19
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",976.0231518745422,10,3,18,27
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 0.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",959.5026347637177,10,3,20,20
0.9945841978999547,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.983681468072265, 'complete_sequence': 0.983681468072265, 'avoid_obstacle': 1.0}",1027.5703301429749,10,3,18,39
0.5900577684787194,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.20976553683813054, 'seq_2_before_3': 0.231199487698743, 'complete_sequence': 0.04862089794305295, 'avoid_obstacle': 1.0}",1010.0763976573944,10,3,28,26
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",552.134786605835,10,3,25,30
0.6981835278473352,"{'goal1': 1.0, 'goal2': 0.7749999981392252, 'goal3': 0.7749999981392252, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.19757578533452155, 'complete_sequence': 0.19757578533452155, 'avoid_obstacle': 1.0}",626.895834684372,10,3,27,32
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",513.5241167545319,10,3,27,15
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 0.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",499.22459149360657,10,3,23,21
